要保人ID,高資產機率
C003395,0.514467301
C011143,0.65640764
C009414,0.308677233
C010180,0.429349326
C005574,0.342547238
C003272,0.300275266
C001034,0.296989251
C010794,0.29300557
C000235,0.85546952
C006332,0.348674753
C011459,0.335555282
C007731,0.195836375
C008682,0.272116113
C002345,0.406964635
C006317,0.486970029
C003807,0.460242444
C010957,0.493474677
C004914,0.382244775
C004633,0.450416618
C009029,0.540343462
C003200,0.358720699
C009114,0.373379831
C001138,0.404386443
C001271,0.328391597
C002814,0.363031486
C003144,0.221605868
C007283,0.33178117
C005897,0.403528829
C006214,0.953457736
C011132,0.335004526
C008432,0.383310999
C011394,0.409130338
C002015,0.367916195
C001324,0.265975641
C008090,0.421096157
C005192,0.384131477
C010056,0.450264428
C009503,0.559697789
C010743,0.328792601
C008919,0.386015287
C000320,0.29832709
C001332,0.21786397
C002613,0.227819041
C011976,0.229216693
C000424,0.347538224
C006386,0.521878516
C007867,0.223187437
C001683,0.313885672
C007115,0.266701202
C011582,0.271351696
C011049,0.425416105
C011136,0.327281929
C004016,0.252619279
C006434,0.567065675
C010711,0.228553219
C011952,0.372999252
C002946,0.500012806
C006785,0.200964049
C004331,0.330117136
C010214,0.46334332
C010736,0.288670721
C005654,0.38987927
C002969,0.290057589
C001183,0.269397728
C006423,0.337812544
C008192,0.34573913
C001215,0.313397546
C007425,0.220856704
C000648,0.281145422
C001123,0.287278958
C005153,0.178110073
C001515,0.313888993
C009553,0.163526605
C007196,0.258595635
C009028,0.231945312
C012190,0.267536007
C010822,0.279245029
C005680,0.231120981
C006095,0.206251957
C011196,0.27647556
C000337,0.170911409
C010775,0.300681643
C000018,0.348052516
C005392,0.280624361
C010047,0.204727529
C012070,0.181203867
C010409,0.140525819
C000156,0.188644643
C008764,0.262166627
C001506,0.291891379
C012121,0.263635291
C008278,0.250066195
C005306,0.300345297
C007016,0.157910776
C011468,0.18382821
C010739,0.176210139
C000488,0.149621103
C004157,0.362314422
C005631,0.125612293
C006166,0.234311666
C004536,0.191772695
C005220,0.254114718
C010282,0.124200494
C005496,0.898581695
C003760,0.246397675
C005581,0.249211545
C005327,0.275432612
C002607,0.377256671
C011140,0.218013616
C011141,0.268288931
C007967,0.123340942
C006271,0.095150492
C006005,0.362355421
C008509,0.455978381
C000972,0.260779726
C010639,0.183672684
C012307,0.344329992
C009102,0.165418971
C001421,0.148901381
C005703,0.266557684
C000933,0.144246883
C002683,0.194894259
C005402,0.493331535
C008726,0.105166483
C008729,0.593253257
C004073,0.846903552
C003316,0.230965144
C006314,0.164394565
C000871,0.347031967
C004009,0.335851764
C006651,0.555808051
C010930,0.553061395
C007613,0.56574045
C001715,0.585138763
C007622,0.464177779
C007157,0.317531245
C009130,0.365526069
C010994,0.505156879
C005068,0.615497468
C002201,0.821971797
C000297,0.369207905
C001404,0.365972208
C011020,0.468548343
C012215,0.463797366
C004512,0.288841163
C008613,0.460513492
C007556,0.307944369
C002407,0.416108474
C003864,0.556556662
C000936,0.552110969
C001928,0.497602123
C004142,0.437046731
C009387,0.463879737
C005427,0.422950512
C010137,0.501278192
C011203,0.500750581
C011101,0.577637278
C009772,0.487452146
C007571,0.65707203
C006820,0.371816751
C001503,0.295980432
C001528,0.391308354
C003315,0.312187622
C004680,0.609950423
C003923,0.496427296
C007527,0.517368873
C009978,0.396271707
C009369,0.458850635
C009283,0.301949004
C006666,0.333674097
C000402,0.520593424
C008566,0.521609121
C005948,0.459531852
C003636,0.4118936
C002855,0.638313036
C004493,0.532907806
C011783,0.311113488
C006957,0.570193756
C003127,0.39788481
C000115,0.405377015
C003057,0.359344618
C006860,0.421567279
C007971,0.343683624
C009263,0.511820498
C008387,0.361297591
C009321,0.305636647
C006952,0.493349951
C007471,0.348880026
C011006,0.423347528
C004726,0.364738615
C010057,0.353200568
C004421,0.283063425
C003974,0.556566513
C007481,0.251108712
C007477,0.412464406
C002098,0.221740986
C003461,0.432800948
C000967,0.287189582
C006187,0.361845587
C001036,0.264144118
C001801,0.312028702
C002094,0.343172858
C011647,0.509030206
C011335,0.233657947
C009366,0.414797377
C001153,0.335626669
C001181,0.175396624
C005010,0.452005173
C005352,0.318058985
C008948,0.340777234
C006267,0.268995443
C008153,0.215677201
C002971,0.239989519
C008449,0.208651263
C010858,0.660451665
C010440,0.213667189
C001331,0.370101795
C003808,0.600895159
C002980,0.342165474
C008596,0.22085994
C008570,0.469203358
C006536,0.336635031
C009153,0.339028119
C010055,0.31160693
C008411,0.246615779
C001571,0.231592038
C008622,0.24551281
C001388,0.22432775
C002910,0.35965074
C006986,0.428050748
C003342,0.934554991
C003533,0.139654035
C007020,0.30984526
C009120,0.282715961
C004498,0.298165398
C010205,0.250248802
C008991,0.416153419
C002367,0.584806209
C005648,0.275974182
C006880,0.225554908
C007697,0.403924176
C006561,0.613054149
C004393,0.2578735
C005732,0.320806542
C009268,0.205402066
C007756,0.167078461
C004179,0.617706041
C010170,0.274633299
C002363,0.180823532
C004993,0.276928856
C004317,0.301077552
C010772,0.377764408
C007834,0.260637106
C002271,0.55209832
C001604,0.196232734
C008904,0.273146639
C000732,0.681847442
C002497,0.45762656
C011187,0.343448124
C003861,0.337700647
C001673,0.348223938
C009270,0.185673003
C010937,0.474676229
C011940,0.252007665
C008846,0.069719538
C007687,0.541948704
C007891,0.252669919
C007022,0.34368615
C009241,0.241439629
C011256,0.221389557
C001118,0.498444866
C009216,0.254243252
C011598,0.211917559
C000560,0.321831002
C004775,0.207453506
C002724,0.24304157
C010256,0.193420365
C002030,0.219151231
C007664,0.212456743
C012028,0.315316271
C009282,0.317431047
C010109,0.248826517
C009794,0.556325352
C003912,0.442357829
C009810,0.205895683
C005666,0.226110822
C006647,0.378898006
C005759,0.342534607
C010017,0.90691035
C007633,0.208215883
C000496,0.458246378
C007981,0.292195537
C006765,0.354154819
C004019,0.256100203
C001429,0.290078562
C008900,0.514718768
C006811,0.244411055
C004948,0.276907834
C005896,0.09533306
C003223,0.345979459
C008286,0.248949787
C006504,0.291623613
C001872,0.27679149
C007933,0.319257919
C007563,0.168266118
C003832,0.205866524
C011710,0.39441346
C005444,0.207266223
C002661,0.065664196
C002036,0.390933235
C004550,0.376530449
C001687,0.615995337
C006201,0.40204466
C004124,0.529037121
C008503,0.316233422
C002496,0.45221808
C009180,0.402966653
C007468,0.55187914
C001474,0.644430382
C001033,0.387799074
C011287,0.349738678
C011091,0.540632875
C000090,0.353824994
C004286,0.538331829
C012271,0.448632685
C006490,0.365746404
C009368,0.365833632
C009143,0.432826824
C004528,0.264545842
C006293,0.11976274
C011539,0.324998231
C002588,0.273728858
C004946,0.231177234
C011798,0.254847437
C004567,0.170631157
C006272,0.210506508
C010040,0.428583372
C001744,0.280772969
C008640,0.389917514
C007209,0.353744503
C003994,0.34485675
C009756,0.223860017
C001186,0.332846979
C005277,0.246049284
C000022,0.310326826
C005063,0.337482616
C003439,0.259374153
C009939,0.235161902
C001592,0.189685301
C008215,0.255896317
C012312,0.232698901
C003753,0.452014957
C007532,0.358602383
C006648,0.212957969
C003554,0.365922449
C000289,0.223311256
C008293,0.290261484
C009261,0.140187826
C006188,0.194089968
C004395,0.196226423
C004517,0.164701939
C009898,0.049133244
C001846,0.382970127
C010187,0.211954952
C008240,0.141337751
C003896,0.236876064
C003968,0.274556056
C005780,0.214135813
C008127,0.433736933
C009975,0.21592964
C004010,0.23525757
C007106,0.171858454
C005776,0.2991302
C002962,0.199817783
C003789,0.139226798
C003026,0.302862592
C003490,0.133545842
C004354,0.299873266
C007398,0.222443088
C000674,0.169003377
C008310,0.492208784
C004223,0.16931963
C002881,0.154457583
C011557,0.233277732
C007875,0.082382637
C003909,0.091301983
C003268,0.160429134
C003089,0.306589208
C000504,0.204799346
C003525,0.160690596
C006499,0.124776547
C008569,0.21288277
C003682,0.269377283
C007693,0.267507202
C001889,0.812634888
C005907,0.138500034
C009016,0.201646288
C010583,0.186136806
C006363,0.363708909
C000843,0.10069918
C000838,0.234447881
C005831,0.107324261
C011015,0.338589425
C004053,0.497319077
C000207,0.224444604
C012184,0.117864213
C008731,0.165246738
C000535,0.227458612
C004229,0.223151239
C009499,0.214133666
C005371,0.32819913
C008232,0.448352108
C000790,0.257818899
C004181,0.100595277
C004944,0.097044475
C012003,0.435667281
C001328,0.174708064
C004566,0.385951684
C011120,0.16049712
C004296,0.254722255
C000618,0.142061346
C003571,0.172482453
C008145,0.062597116
C011823,0.544629164
C010384,0.224558508
C006970,0.194885066
C001279,0.211178914
C010023,0.148211538
C003265,0.096437342
C000990,0.291520469
C008626,0.21967749
C010368,0.296773657
C000021,0.191044338
C003347,0.142966506
C001009,0.768230793
C004745,0.232293138
C006450,0.377437048
C006312,0.154491885
C001243,0.245972604
C000662,0.339446978
C003758,0.304421293
C007479,0.620125172
C009666,0.634194208
C006566,0.720825725
C004410,0.485360951
C001845,0.350558658
C011873,0.335737661
C010840,0.35290852
C009422,0.385271844
C007217,0.53452909
C009342,0.526203558
C002333,0.319860919
C006581,0.339753418
C009744,0.271862277
C002705,0.313432382
C009678,0.30890762
C001214,0.28088105
C004304,0.381525755
C000649,0.314714608
C011960,0.442276761
C011333,0.259450656
C008525,0.413894917
C010190,0.277929462
C007577,0.398008742
C009855,0.32983928
C011220,0.220608457
C006444,0.357874609
C007289,0.338298
C000930,0.284194244
C004305,0.565423884
C007760,0.247700542
C008543,0.470088662
C008996,0.288688126
C011446,0.310591653
C007983,0.360773197
C011555,0.351259998
C012021,0.326667089
C002007,0.228289209
C011023,0.30970574
C007637,0.324746104
C005504,0.319328919
C007499,0.112143647
C001768,0.192672526
C011970,0.208203948
C003377,0.276337158
C006425,0.160585585
C005515,0.156822129
C006502,0.088535605
C010923,0.175864724
C007287,0.078485253
C007905,0.069039713
C001167,0.208743224
C010372,0.201893273
C000339,0.368315903
C005860,0.473998411
C011786,0.406432902
C006829,0.346392773
C007584,0.489862491
C009157,0.36659892
C011816,0.320986461
C012110,0.304782313
C005291,0.280514548
C011723,0.622016478
C009950,0.51266629
C002379,0.396805821
C006998,0.305505473
C010399,0.300649675
C006335,0.362942066
C004481,0.372153547
C011491,0.412847426
C002525,0.306034932
C008899,0.25296079
C011082,0.24033231
C003869,0.360688783
C003600,0.216896709
C005716,0.236735455
C004693,0.261887964
C001495,0.34229887
C000879,0.386571144
C002959,0.175004377
C005840,0.1636078
C007195,0.329026406
C004215,0.298417455
C004098,0.501139098
C004539,0.280486318
C003105,0.348848655
C011640,0.221769632
C002186,0.206483936
C007135,0.322854886
C000976,0.234664761
C003979,0.176385434
C005475,0.230889246
C004032,0.217706213
C006895,0.157883295
C012014,0.369482751
C009165,0.191886413
C006309,0.293505972
C010834,0.268971872
C012032,0.156810949
C011110,0.395546156
C005580,0.242833346
C011802,0.163244652
C002269,0.472547385
C008447,0.287873233
C003246,0.375655252
C010027,0.371660032
C012277,0.264300533
C007665,0.551603221
C002947,0.172943905
C007044,0.316999505
C005062,0.259843108
C010881,0.282883303
C002451,0.217714388
C006040,0.54711021
C002916,0.238597648
C009427,0.252479459
C005519,0.82060766
C006805,0.2227282
C008603,0.756394815
C001730,0.227356025
C010225,0.189825014
C004816,0.347613194
C005932,0.188296745
C008396,0.307043998
C002353,0.142539988
C002068,0.18767127
C011486,0.246460822
C005397,0.132035062
C009917,0.229936024
C010828,0.19534172
C009288,0.138837296
C005938,0.208627637
C003630,0.13669229
C001848,0.124397412
C007413,0.138956704
C005331,0.105166021
C003332,0.119952732
C011924,0.306079977
C009160,0.190224173
C001107,0.40852978
C004287,0.125364785
C007508,0.222802474
C010932,0.221122064
C003276,0.127961568
C001696,0.994840886
C008882,0.085980222
C004398,0.127310366
C012189,0.06861427
C012273,0.191311831
C004128,0.250005795
C011320,0.101237737
C007762,0.111338081
C010497,0.10820951
C006106,0.27054795
C008830,0.04395718
C009581,0.361156484
C006480,0.362636174
C002327,0.393306367
C004988,0.414365884
C001689,0.614243204
C008966,0.447716307
C003958,0.378456453
C004416,0.335128727
C005622,0.20744389
C008191,0.433985127
C012139,0.188005747
C009576,0.301265978
C005942,0.296415206
C004742,0.252932839
C000089,0.329988484
C001062,0.273041746
C009865,0.353058415
C009250,0.282630924
C004851,0.21961909
C000043,0.330583392
C003003,0.262424207
C010623,0.329875247
C008262,0.508248361
C002146,0.304634811
C008045,0.367529016
C006150,0.415511634
C006395,0.539642993
C002826,0.272760494
C007772,0.259389378
C004591,0.269650861
C010854,0.293416233
C004390,0.249078887
C006967,0.433593127
C006046,0.249125554
C004958,0.299449849
C004379,0.239904065
C006301,0.360358383
C011547,0.356807153
C002807,0.364888496
C003726,0.326063257
C005774,0.20615634
C001710,0.305991771
C005401,0.399662423
C002749,0.20034328
C000381,0.21867687
C004769,0.164983852
C008903,0.168035728
C005356,0.159368358
C006218,0.163553279
C009519,0.213218569
C009200,0.060793014
C011903,0.304790027
C009738,0.346372642
C003310,0.048141924
C003935,0.303670164
C003612,0.400732655
C003901,0.373123383
C011749,0.419942145
C009801,0.270630153
C003677,0.4214399
C002278,0.260019648
C001137,0.386545092
C006217,0.360072383
C002183,0.303846164
C003308,0.310821299
C000691,0.398666466
C007325,0.455455641
C010064,0.499470874
C001352,0.172301362
C009644,0.2825831
C001712,0.256235314
C004541,0.233535239
C005439,0.185155344
C004952,0.175762949
C009944,0.448586692
C000327,0.269887535
C006943,0.355228855
C002462,0.233772304
C009218,0.383465261
C008336,0.301017843
C001756,0.315838899
C003138,0.246669024
C012091,0.20725295
C009020,0.294097742
C006832,0.181783809
C005916,0.17149386
C005584,0.289680551
C003748,0.082625846
C000617,0.255839948
C004702,0.516843545
C006935,0.20162537
C011398,0.213597929
C003679,0.088339507
C011255,0.275103144
C000558,0.243502616
C011361,0.307482721
C009339,0.426986346
C005021,0.340683201
C003149,0.233207671
C011581,0.413905261
C009014,0.421359162
C003621,0.383033785
C012177,0.401166821
C009838,0.403586486
C006460,0.103480583
C000482,0.355872221
C002210,0.546936319
C010512,0.249262554
C010804,0.239054849
C009258,0.385592357
C008423,0.21128188
C010036,0.156777559
C007759,0.250080493
C005262,0.351536452
C001201,0.20613222
C010561,0.233267573
C012054,0.2744653
C000134,0.361844544
C005625,0.13049981
C011109,0.158723021
C006505,0.199375933
C001533,0.136529088
C003926,0.128083599
C004206,0.215970526
C001345,0.192385924
C007821,0.398425151
C008698,0.085825482
C011051,0.068164783
C009703,0.199439088
C002360,0.381792889
C005272,0.396435413
C010909,0.483245462
C008493,0.426872999
C000466,0.508559829
C004429,0.44606627
C011944,0.469771591
C007139,0.348214846
C010612,0.427334765
C007514,0.466914287
C006136,0.462835863
C010511,0.532717958
C002590,0.614420233
C011600,0.449695427
C008655,0.415388986
C009754,0.492452393
C007311,0.410627284
C007122,0.36993489
C000616,0.36134699
C011176,0.309948295
C003452,0.33142763
C006862,0.448976387
C002330,0.465991754
C002466,0.282674507
C007819,0.729632365
C000689,0.191173924
C010201,0.404749606
C008805,0.269626675
C008878,0.323825439
C000442,0.320294681
C009080,0.321069641
C004679,0.345050774
C001007,0.260753821
C007403,0.282455134
C005929,0.27532688
C001562,0.220695669
C006993,0.513164937
C010240,0.336387271
C007222,0.33521326
C007203,0.522436262
C001854,0.262599539
C000697,0.262185992
C002766,0.325018997
C007557,0.444952968
C007309,0.300091963
C009137,0.352611546
C003629,0.29236954
C003625,0.195731888
C008881,0.347103598
C005862,0.448324093
C005467,0.254216655
C009528,0.356191658
C012186,0.436287934
C001780,0.05503914
C007406,0.196456111
C003152,0.257638238
C001437,0.333378553
C009382,0.061660344
C002141,0.255137551
C010447,0.270521948
C002214,0.291292465
C008752,0.366397846
C005095,0.264859695
C008852,0.250141181
C001141,0.33191931
C003237,0.369719978
C007752,0.27375338
C002043,0.397509512
C002355,0.263493246
C007464,0.320435827
C002343,0.229941163
C008187,0.350387853
C011438,0.208756803
C010936,0.294485308
C001927,0.265948993
C012348,0.488492765
C000789,0.297582225
C002606,0.290390804
C007668,0.345203508
C009971,0.287831413
C005186,0.41912364
C002372,0.186484189
C001136,0.268019673
C004238,0.164865389
C010485,0.213178293
C003999,0.219264193
C007105,0.25418558
C004978,0.216418602
C004718,0.258942877
C000036,0.380677892
C000622,0.144075886
C001967,0.41476325
C012246,0.228039832
C001078,0.193467467
C006259,0.225468545
C010058,0.205319259
C012100,0.330045713
C002598,0.169824744
C008887,0.275291766
C002949,0.192238948
C007408,0.180935853
C002997,0.190535834
C005841,0.269764449
C005334,0.227411062
C005405,0.296607395
C001460,0.224819373
C006528,0.447477046
C007077,0.211002992
C005964,0.242215946
C009331,0.175472556
C009072,0.225955328
C003114,0.222752958
C008715,0.227136722
C011223,0.190978196
C002731,0.165442759
C010518,0.186397648
C011189,0.135510867
C003936,0.566612869
C001373,0.154771802
C003652,0.221990031
C000284,0.29795226
C000978,0.109254926
C008533,0.120286819
C003980,0.168448013
C004077,0.238885908
C009409,0.306762771
C005533,0.269406559
C001327,0.156379214
C005413,0.161119948
C002194,0.047304606
C007789,0.15436508
C003970,0.184072552
C001401,0.237796923
C001037,0.284247206
C008189,0.099587737
C000348,0.13244816
C006925,0.103339243
C001945,0.128315219
C001305,0.154099291
C002309,0.184117424
C005677,0.22020589
C001895,0.193079129
C004377,0.129851192
C000061,0.083794885
C010121,0.095729982
C004711,0.376632302
C006595,0.124841637
C009416,0.186380395
C006784,0.146900467
C001121,0.10093669
C000685,0.109389341
C011387,0.350923377
C002340,0.559805876
C010509,0.042433367
C009448,0.322278966
C009979,0.385053209
C005263,0.391971874
C009311,0.401714231
C006671,0.420093313
C010714,0.343793717
C012126,0.497680216
C011229,0.790665823
C005797,0.3330697
C007302,0.255847232
C010070,0.391761825
C002866,0.333380292
C008348,0.376681345
C005108,0.424613604
C008040,0.254766005
C011347,0.278459213
C012039,0.302215734
C008295,0.329195782
C011464,0.456346914
C005297,0.467949264
C006873,0.311718942
C007949,0.34323631
C007089,0.217076387
C001910,0.249122538
C010077,0.225266596
C001868,0.221239995
C009753,0.259671771
C005993,0.273423836
C011611,0.382420782
C002245,0.288742578
C000394,0.291865525
C009538,0.099169556
C002964,0.560998848
C003755,0.260830979
C004677,0.2617167
C011474,0.758878979
C010674,0.234915281
C002672,0.249087458
C005855,0.31052118
C003887,0.380510332
C010754,0.272285244
C000509,0.340287881
C011286,0.281783451
C010745,0.293952665
C006006,0.255925126
C006343,0.383536315
C001248,0.21760855
C002049,0.224014727
C008171,0.184099451
C005158,0.213036755
C012213,0.259762824
C006212,0.230467729
C009365,0.204424987
C005833,0.376560707
C002542,0.210365148
C003548,0.229585593
C010188,0.239683505
C003236,0.247727401
C012069,0.204751197
C009593,0.188204548
C009202,0.308534279
C010852,0.186984024
C009103,0.304582453
C007568,0.365381044
C000142,0.231545894
C001849,0.384490854
C001292,0.188537468
C005103,0.21339213
C007877,0.294156017
C000854,0.284606219
C011321,0.340633748
C010483,0.136331679
C009526,0.263539573
C012114,0.187627303
C009019,0.226090926
C009098,0.401157731
C005606,0.224977705
C005484,0.168598974
C001647,0.17639404
C011111,0.183033991
C006870,0.201192866
C005865,0.17610693
C007561,0.393431412
C001518,0.376345283
C008699,0.238684225
C010479,0.163593659
C005503,0.23391333
C001113,0.353544507
C002632,0.222581599
C008204,0.300295381
C002948,0.346547939
C007401,0.200748976
C005956,0.430724279
C002671,0.122029195
C009529,0.377080345
C009129,0.244689586
C002279,0.315399762
C011548,0.120261857
C004663,0.346811736
C007670,0.219430218
C005955,0.523900229
C004172,0.304296897
C010749,0.174444011
C002793,0.258535317
C005924,0.395864522
C007412,0.328829441
C012295,0.322066419
C002326,0.226943288
C003319,0.429420246
C010658,0.201008282
C002038,0.193510101
C012351,0.369129713
C012287,0.286265099
C006778,0.29710813
C004734,0.242723776
C000353,0.341584945
C011357,0.130147628
C001408,0.652077952
C009905,0.277401122
C007014,0.240037028
C009570,0.221899228
C003186,0.317859069
C009598,0.29805378
C001247,0.285389867
C006606,0.202913659
C005662,0.163422861
C005812,0.27097805
C004242,0.43176922
C008560,0.122439511
C009953,0.237842348
C006601,0.226351017
C007840,0.183538491
C007505,0.683718358
C006325,0.246536278
C008463,0.176083954
C010831,0.573682602
C003458,0.560601422
C010634,0.189717009
C011036,0.187868803
C001017,0.148495248
C009322,0.147273746
C000873,0.108592908
C002005,0.156357535
C001513,0.184438392
C010151,0.5928155
C003954,0.124946911
C006051,0.092672901
C011654,0.357776907
C005361,0.294025833
C010376,0.186158385
C003355,0.168578884
C005535,0.244121437
C011849,0.412217944
C002763,0.152405292
C004137,0.125302869
C006180,0.224153943
C005618,0.282068117
C000534,0.133463138
C007058,0.131170085
C011946,0.483756788
C000832,0.181905053
C005696,0.261191482
C001407,0.122827677
C009013,0.1825057
C004867,0.380838653
C009081,0.238812233
C006087,0.138240719
C000931,0.173810672
C005934,0.163478951
C001031,0.147341716
C004082,0.315246141
C002017,0.134608187
C012303,0.261889217
C008451,0.13240876
C003841,0.137275915
C010917,0.138668012
C007071,0.135931282
C007958,0.132859921
C004552,0.214048089
C003524,0.112440084
C006273,0.125669469
C000580,0.120415386
C004316,0.310769564
C001252,0.107135293
C010235,0.205427011
C008397,0.21454434
C007364,0.225093789
C001702,0.082605073
C003618,0.182783464
C008205,0.097368309
C005258,0.107746645
C006543,0.043307589
C003169,0.10183387
C000585,0.052051702
C006534,0.133690532
C005700,0.234339254
C006125,0.215775476
C000846,0.05005196
C003581,0.118125728
C002046,0.111937007
C002575,0.200261882
C006745,0.330812616
C009034,0.329448804
C004454,0.272132482
C007658,0.092575366
C001638,0.185296482
C007677,0.220709714
C010819,0.143499499
C004072,0.156969033
C010048,0.343721997
C008379,0.539099446
C002237,0.504667249
C011471,0.457368952
C008650,0.30084993
C010245,0.506859244
C012182,0.413002951
C009104,0.585996752
C007898,0.45045744
C001446,0.496460458
C006744,0.360861701
C001467,0.326059434
C010584,0.434015486
C002384,0.428050549
C001417,0.469974687
C005370,0.3274902
C001366,0.429168671
C000068,0.489849348
C003011,0.485940106
C009438,0.333430219
C000328,0.281283721
C002301,0.65664932
C003405,0.241378145
C007909,0.217482489
C011606,0.368899396
C010679,0.449864057
C009058,0.140777636
C007085,0.342745356
C008383,0.253301744
C006365,0.291881096
C000326,0.319294464
C009884,0.536308357
C004004,0.313667283
C005870,0.219253266
C004289,0.234894352
C003890,0.317771008
C010567,0.261068246
C004176,0.269947941
C008133,0.223655492
C005339,0.294348615
C008580,0.565773995
C006245,0.330067362
C009778,0.369834201
C005238,0.279626705
C006074,0.338383244
C006541,0.299323721
C003086,0.364297122
C008024,0.231902208
C002293,0.754602549
C007420,0.998230907
C010499,0.297849681
C003813,0.226046898
C007874,0.252285644
C002811,0.598180673
C009788,0.227590813
C001425,0.396337063
C011766,0.262514672
C005756,0.31603951
C010255,0.188288127
C009214,0.2653583
C006289,0.252786951
C011298,0.274115019
C004054,0.69896764
C008567,0.268255981
C008298,0.376722783
C011521,0.229938444
C007437,0.421758269
C004691,0.26668448
C001149,0.336386951
C004932,0.353583058
C011804,0.242462694
C011445,0.242901582
C011166,0.268376537
C002505,0.284254814
C002401,0.243054562
C010549,0.252439978
C004811,0.283406866
C002957,0.339494135
C006917,0.255275395
C003346,0.298619377
C004107,0.229100901
C012300,0.166548086
C007344,0.149778574
C008018,0.165842218
C004345,0.18213616
C010069,0.224587755
C006115,0.321326126
C009124,0.17496009
C010774,0.241806919
C011656,0.187515478
C005132,0.350918316
C003438,0.190036137
C001042,0.176577596
C012061,0.242079841
C003997,0.234989535
C000366,0.119459303
C008624,0.227660753
C011230,0.200085658
C000011,0.188583414
C010943,0.158017821
C009246,0.133911729
C011209,0.150363063
C003139,0.174265132
C000410,0.180161031
C003678,0.147003145
C000626,0.246339405
C002619,0.141029073
C010989,0.183710092
C003131,0.124916047
C001601,0.265571102
C009591,0.162853192
C000264,0.176286255
C004139,0.350363015
C012145,0.180792657
C011732,0.155214985
C000226,0.314943392
C010566,0.062425946
C001799,0.176245672
C006531,0.215113252
C001920,0.123601412
C000982,0.742289936
C009299,0.16620814
C009895,0.13345095
C001767,0.240018244
C004824,0.12557317
C008206,0.199735005
C011692,0.112431172
C009134,0.249856165
C010643,0.268199772
C001745,0.25948012
C004015,0.057471115
C005514,0.172704078
C008669,0.074005357
C011028,0.190253583
C006001,0.19599596
C006269,0.629190829
C001266,0.300163758
C000948,0.410987469
C003502,0.382005283
C002204,0.385129859
C011529,0.401959473
C006826,0.273187698
C008026,0.278288187
C001505,0.180833172
C001720,0.422677216
C008194,0.403029939
C004423,0.4494326
C008459,0.39804905
C001385,0.579270819
C008778,0.314864607
C005597,0.542418413
C000484,0.409446806
C008531,0.445937566
C002612,0.443201345
C005171,0.410087373
C012253,0.35632712
C006287,0.300208639
C011460,0.247360317
C009428,0.341406382
C008072,0.518797518
C011658,0.339599098
C002681,0.283899451
C006794,0.390533814
C005969,0.277675114
C007732,0.277311004
C004703,0.331944452
C009585,0.234917242
C007506,0.464580316
C011703,0.046707809
C003381,0.340173942
C004741,0.427181654
C004302,0.313913877
C008605,0.367460596
C005298,0.252907999
C008304,0.999999136
C006158,0.355630359
C005908,0.527854336
